Designator,Mid X,Mid Y,Rotation,Layer
C1,93.71,-80.01,180.0,top
C10,147.32,-100.33,180.0,top
C11,114.3,-110.175112,270.0,top
C12,147.32,-110.804887,90.0,top
C13,104.14,-91.017349,90.0,top
C14,130.81,-91.057349,90.0,top
C2,158.75,-81.594887,90.0,top
C3,135.88,-82.55,180.0,top
C4,147.31,-82.55,180.0,top
C5,114.3,-72.704887,90.0,top
C6,147.31,-72.075112,270.0,top
C7,93.71,-102.87,180.0,top
C8,158.75,-102.555112,270.0,top
C9,135.89,-100.33,180.0,top
J1,92.71,-91.44,0.0,top
J2,158.75,-91.44,0.0,top
J3,123.825,-71.755,270.0,top
R1,101.6,-76.2,90.0,top
R10,115.57,-100.33,0.0,top
R11,135.89,-104.14,0.0,top
R12,147.32,-104.14,180.0,top
R13,115.57,-104.14,180.0,top
R14,135.9,-111.125,180.0,top
R2,105.41,-76.2,270.0,top
R3,115.57,-82.55,0.0,top
R4,135.88,-78.74,0.0,top
R5,147.31,-78.74,180.0,top
R6,115.57,-78.74,180.0,top
R7,135.89,-71.755,180.0,top
R8,105.41,-106.68,270.0,top
R9,101.6,-106.68,90.0,top
U1,115.58,-91.43,270.0,top
U2,142.25,-91.43,270.0,top
